name,pclass,Age,SexCode,Survived
794,1,28.0,0,0
795,1,0.0,1,1
799,1,65.0,0,0
802,1,33.0,1,1
801,1,44.0,0,0
803,1,37.0,1,1
809,1,0.0,0,1
812,1,55.0,0,0
815,1,47.0,0,0
853,1,36.0,0,0
863,1,58.0,0,0
861,1,31.0,1,1
862,1,23.0,1,1
864,1,19.0,1,1
866,1,64.0,0,0
905,1,0.0,0,1
912,1,64.0,0,0
911,1,22.0,1,1
914,1,28.0,0,0
927,1,0.0,0,0
929,1,0.0,0,0
938,1,22.0,0,0
943,1,0.0,0,0
944,1,0.0,1,1
951,1,18.0,0,0
952,1,17.0,1,1
969,1,52.0,0,1
977,1,46.0,0,0
979,1,56.0,1,1
990,1,0.0,0,0
993,1,0.0,0,1
1012,1,43.0,1,1
1015,1,31.0,0,0
1018,1,0.0,0,1
1020,1,0.0,0,0
1024,1,33.0,1,1
1025,1,0.0,0,0
1027,1,27.0,1,1
1028,1,55.0,0,0
1029,1,54.0,1,1
1031,1,0.0,0,0
1039,1,61.0,0,0
1040,1,48.0,1,1
1037,1,18.0,1,1
1036,1,13.0,0,1
1038,1,21.0,1,1
1043,1,0.0,0,1
1059,1,0.0,0,1
1071,1,0.0,1,1
1078,1,34.0,0,1
1088,1,40.0,1,1
1090,1,36.0,0,1
1091,1,50.0,0,0
1092,1,39.0,1,1
1094,1,56.0,0,1
1113,1,28.0,0,1
1114,1,56.0,0,0
1118,1,56.0,0,0
1119,1,24.0,0,0
1121,1,18.0,1,1
1120,1,0.0,0,0
1123,1,24.0,0,1
1124,1,23.0,1,1
1131,1,45.0,0,1
1132,1,40.0,1,1
1130,1,6.0,0,1
1133,1,57.0,0,0
1134,1,0.0,1,1
1135,1,32.0,0,1
1141,1,62.0,0,0
1142,1,54.0,0,1
1143,1,43.0,1,1
1144,1,52.0,1,1
1145,1,0.0,0,0
1147,1,62.0,1,1
1152,1,67.0,0,0
1153,1,63.0,1,0
1160,1,61.0,0,0
1166,1,46.0,1,1
1169,1,52.0,0,0
1170,1,39.0,1,1
1168,1,18.0,1,1
1171,1,48.0,0,1
1172,1,0.0,1,1
1174,1,49.0,0,0
1176,1,39.0,1,1
1175,1,17.0,0,1
1184,1,46.0,0,0
1185,1,0.0,1,1
1202,1,31.0,0,1
1208,1,0.0,0,0
1213,1,61.0,0,0
1233,1,47.0,0,0
1240,1,64.0,0,0
1241,1,60.0,1,1
1248,1,60.0,0,0
1265,1,55.0,1,1
1263,1,54.0,0,0
1264,1,21.0,0,0
1267,1,57.0,0,0
1268,1,45.0,1,1
1266,1,31.0,1,1
1270,1,50.0,0,0
1272,1,50.0,1,1
1271,1,27.0,0,0
1277,1,20.0,1,1
1280,1,51.0,0,0
1282,1,0.0,0,0
1285,1,21.0,0,1
1291,1,0.0,0,1
1293,1,0.0,0,0
1297,1,36.0,1,1
90,1,0.0,1,1
98,1,0.0,1,1
117,1,0.0,1,1
119,1,0.0,1,1
124,1,0.0,1,1
170,1,0.0,1,1
225,1,0.0,1,1
241,1,0.0,1,1
297,1,0.0,1,1
373,1,0.0,1,1
379,1,0.0,0,0
386,1,0.0,1,0
408,1,0.0,1,1
418,1,0.0,0,0
431,1,0.0,1,1
435,1,0.0,0,0
500,1,0.0,0,0
505,1,40.0,0,0
510,1,0.0,0,0
569,1,0.0,1,1
632,1,32.0,0,0
638,1,0.0,1,1
683,1,0.0,1,1
699,1,0.0,0,0
747,1,0.0,1,1
897,1,0.0,1,0
954,1,0.0,1,1
1006,1,33.0,0,0
1011,1,0.0,0,0
1074,1,0.0,1,1
1076,1,0.0,1,0
1234,1,0.0,1,0
1286,1,0.0,1,1
6,2,30.0,0,0
7,2,28.0,1,1
42,2,18.0,0,0
43,2,0.0,0,0
47,2,34.0,0,0
48,2,32.0,1,1
54,2,57.0,0,0
82,2,18.0,0,0
83,2,23.0,0,0
85,2,36.0,1,1
86,2,28.0,0,0
94,2,51.0,0,0
99,2,32.0,0,1
100,2,19.0,1,1
102,2,28.0,0,0
107,2,36.0,1,1
105,2,4.0,1,1
104,2,1.0,0,1
106,2,12.0,1,1
110,2,34.0,0,1
113,2,19.0,1,1
115,2,23.0,0,0
133,2,26.0,0,0
143,2,0.0,0,0
145,2,27.0,0,0
157,2,15.0,1,1
159,2,45.0,0,0
162,2,40.0,1,1
163,2,20.0,1,1
164,2,25.0,0,0
171,2,36.0,1,1
172,2,25.0,0,0
174,2,0.0,0,0
175,2,42.0,1,1
182,2,26.0,0,1
183,2,26.0,1,1
181,2,0.83,0,1
185,2,31.0,1,1
186,2,0.0,0,0
193,2,19.0,0,0
209,2,54.0,0,0
207,2,44.0,1,0
221,2,52.0,0,0
222,2,30.0,0,0
223,2,30.0,1,0
234,2,0.0,1,1
233,2,0.0,1,1
239,2,29.0,0,0
240,2,0.0,1,1
248,2,29.0,0,0
249,2,27.0,0,0
250,2,24.0,0,1
253,2,35.0,0,0
254,2,31.0,1,1
252,2,8.0,1,1
263,2,22.0,1,0
267,2,30.0,1,0
268,2,0.0,1,0
271,2,20.0,0,0
285,2,0.0,0,0
303,2,21.0,0,0
309,2,49.0,1,1
307,2,8.0,0,1
308,2,28.0,1,1
315,2,18.0,0,0
1306,2,0.0,0,0
1308,2,28.0,0,0
1309,2,22.0,1,1
321,2,25.0,0,0
327,2,18.0,0,0
337,2,32.0,1,1
336,2,18.0,1,1
344,2,0.0,0,0
349,2,42.0,0,0
350,2,34.0,1,1
348,2,8.0,0,1
356,2,0.0,1,1
357,2,0.0,1,1
363,2,23.0,0,0
372,2,21.0,0,0
377,2,19.0,0,0
380,2,0.0,0,0
381,2,0.0,1,1
382,2,0.0,0,0
407,2,38.0,0,0
417,2,0.0,0,0
419,2,38.0,1,0
422,2,35.0,0,0
423,2,35.0,0,0
424,2,38.0,0,0
427,2,24.0,1,1
428,2,16.0,0,0
429,2,26.0,0,0
436,2,45.0,0,0
437,2,24.0,0,0
438,2,21.0,0,0
439,2,22.0,0,0
441,2,0.0,0,0
442,2,34.0,0,0
444,2,30.0,0,0
467,2,50.0,0,0
483,2,30.0,0,0
485,2,23.0,1,1
484,2,1.0,0,1
491,2,44.0,0,0
499,2,28.0,0,0
496,2,6.0,1,1
501,2,30.0,0,1
503,2,0.0,0,0
507,2,43.0,0,0
509,2,45.0,1,1
506,2,7.0,1,1
528,2,24.0,1,1
529,2,24.0,1,1
530,2,49.0,0,0
531,2,48.0,1,1
532,2,0.0,1,1
533,2,34.0,0,0
534,2,32.0,0,0
535,2,21.0,0,0
537,2,18.0,1,0
546,2,53.0,1,1
544,2,23.0,0,0
543,2,21.0,1,1
545,2,0.0,0,0
547,2,52.0,0,0
549,2,42.0,0,0
550,2,36.0,1,1
557,2,21.0,0,0
559,2,41.0,0,1
561,2,0.0,0,0
562,2,0.0,1,0
567,2,33.0,0,0
570,2,17.0,1,1
577,0,0.0,0,0
578,2,0.0,1,1
581,2,0.0,0,0
582,2,0.0,0,0
583,2,0.0,0,0
584,2,0.0,0,0
590,2,23.0,1,1
618,2,34.0,0,0
619,2,0.0,1,1
624,2,22.0,1,0
630,2,0.0,0,0
628,2,0.0,1,1
637,2,45.0,1,1
656,2,0.0,0,0
661,2,0.0,0,0
664,2,31.0,0,0
671,2,30.0,0,0
670,2,26.0,1,0
676,2,0.0,0,0
697,2,34.0,1,1
667,2,26.0,0,0
668,2,22.0,1,1
665,2,1.0,1,1
666,2,3.0,1,1
691,2,0.0,1,1
693,2,0.0,1,1
701,2,0.0,0,0
703,2,25.0,0,0
716,2,0.0,0,0
725,2,48.0,0,0
726,2,0.0,1,1
734,2,57.0,1,0
743,2,0.0,0,0
745,2,0.0,0,0
746,2,0.0,1,1
744,2,2.0,0,1
750,2,0.0,0,0
753,2,27.0,0,0
759,2,19.0,1,1
764,2,30.0,0,0
765,2,20.0,0,0
773,2,45.0,0,0
774,2,0.0,0,0
781,2,46.0,0,0
790,2,41.0,1,1
789,2,13.0,1,1
791,2,19.0,0,1
793,2,30.0,0,0
800,2,48.0,0,0
807,2,71.0,0,0
820,2,54.0,0,0
822,2,0.0,0,0
831,2,0.0,0,0
839,2,64.0,0,0
850,2,32.0,0,0
851,2,18.0,1,1
855,2,2.0,0,1
857,2,32.0,0,0
856,2,3.0,0,1
860,2,26.0,0,0
865,2,19.0,0,0
876,2,0.0,0,0
879,2,20.0,0,1
881,2,29.0,1,1
913,2,39.0,0,0
915,2,22.0,0,1
916,2,0.0,0,1
917,2,24.0,0,0
918,2,0.0,0,1
925,2,28.0,0,0
926,2,0.0,0,0
928,2,50.0,1,1
953,2,20.0,0,0
958,2,40.0,0,0
970,2,42.0,1,1
971,2,21.0,0,0
973,2,32.0,1,1
975,2,34.0,0,0
976,2,0.0,0,1
980,2,0.0,0,0
983,2,33.0,1,1
981,2,2.0,1,1
982,2,8.0,1,1
987,2,36.0,0,0
988,2,34.0,0,0
989,2,30.0,1,1
991,2,28.0,1,1
1000,2,23.0,0,0
1001,2,0.8,0,1
1003,2,25.0,1,1
1002,2,3.0,0,1
1004,2,50.0,1,1
1016,2,0.0,0,0
1032,2,21.0,1,1
1073,2,0.0,0,0
1079,2,0.0,0,0
1084,2,25.0,1,1
1089,2,18.0,1,1
1095,2,20.0,1,1
1097,2,30.0,1,1
1101,2,59.0,0,0
1110,2,30.0,1,1
1111,2,35.0,0,0
1116,2,22.0,0,0
1117,2,0.0,1,1
1125,2,25.0,0,0
1140,2,41.0,0,0
1146,2,25.0,0,0
1165,2,14.0,0,0
1193,2,50.0,1,1
1199,2,22.0,0,0
1200,2,0.0,1,1
1201,2,27.0,1,1
1206,2,29.0,0,0
1207,2,27.0,1,0
1226,2,30.0,0,0
1231,2,22.0,0,0
1232,2,35.0,1,1
1236,2,30.0,0,0
1238,2,28.0,1,1
1237,2,23.0,0,0
1242,2,0.0,0,0
1243,2,12.0,1,1
1244,2,40.0,1,1
1246,2,36.0,1,1
1249,2,28.0,0,0
1250,2,32.0,1,1
1253,2,29.0,1,1
1252,2,4.0,1,1
1251,2,2.0,0,1
1256,2,0.0,1,1
1257,2,0.0,1,1
1258,2,36.0,0,0
1259,2,33.0,1,1
1260,2,0.0,0,0
1261,2,0.0,0,0
1262,2,0.0,0,0
1274,2,32.0,0,1
1276,2,0.0,1,1
1281,2,0.0,0,1
1292,2,26.0,1,1
1299,2,0.0,1,0
17,2,30.0,0,0
158,2,24.0,1,1
956,2,0.0,0,0
1164,2,18.0,0,0
0,3,42.0,0,0
1,3,13.0,0,0
2,3,16.0,0,0
3,3,35.0,1,1
4,3,16.0,1,1
5,3,25.0,0,1
8,3,18.0,1,1
9,3,20.0,0,1
10,3,30.0,0,0
11,3,26.0,0,0
12,3,40.0,1,0
13,3,24.0,0,0
14,3,41.0,0,0
16,3,18.0,1,1
15,3,0.83,0,1
18,3,23.0,0,0
19,3,20.0,0,0
20,3,25.0,0,0
22,3,35.0,0,0
27,3,17.0,0,0
28,3,32.0,0,0
29,3,20.0,0,0
38,3,39.0,0,0
40,3,39.0,1,0
32,3,6.0,1,0
33,3,2.0,1,0
34,3,17.0,1,1
35,3,38.0,1,0
36,3,9.0,1,0
39,3,26.0,0,0
37,3,11.0,1,0
31,3,4.0,0,0
41,3,20.0,0,0
46,3,26.0,0,0
50,3,25.0,0,0
51,3,18.0,1,0
52,3,24.0,0,0
55,3,35.0,0,0
61,3,40.0,0,0
63,3,38.0,1,1
57,3,5.0,0,0
58,3,9.0,0,0
56,3,3.0,0,1
59,3,13.0,0,0
62,3,23.0,0,1
60,3,5.0,1,1
64,3,0.0,0,0
65,3,45.0,1,1
66,3,23.0,0,0
70,3,17.0,1,0
69,3,27.0,0,0
72,3,23.0,0,0
73,3,20.0,0,0
74,3,32.0,0,0
75,3,33.0,1,1
76,3,3.0,1,1
77,3,0.0,1,1
78,3,0.0,1,1
79,3,0.0,1,1
80,3,18.0,1,1
81,3,40.0,0,0
84,3,26.0,0,0
87,3,15.0,1,1
89,3,45.0,1,0
88,3,18.0,1,0
92,3,27.0,1,0
93,3,22.0,0,0
103,3,19.0,0,0
112,3,26.0,0,0
114,3,22.0,0,0
116,3,20.0,0,0
118,3,32.0,0,1
120,3,21.0,0,0
125,3,18.0,0,0
132,3,26.0,0,0
134,3,6.0,0,0
136,3,0.0,0,0
137,3,0.0,1,0
135,3,9.0,1,0
139,3,40.0,0,0
140,3,32.0,1,0
138,3,0.0,1,0
142,3,26.0,0,0
146,3,18.0,1,1
149,3,20.0,1,0
150,3,0.0,0,0
152,3,29.0,0,0
153,3,22.0,0,0
155,3,22.0,0,0
156,3,35.0,0,0
166,3,21.0,0,1
165,3,20.0,1,0
168,3,19.0,0,0
169,3,18.0,1,0
176,3,18.0,0,0
177,3,38.0,0,0
178,3,0.0,0,0
179,3,30.0,0,0
184,3,17.0,0,0
187,3,21.0,1,0
188,3,21.0,0,0
190,3,21.0,0,0
191,3,0.0,0,0
192,3,0.0,1,0
197,3,24.0,0,0
198,3,33.0,0,0
199,3,33.0,0,0
196,3,28.0,0,0
200,3,16.0,1,1
201,3,37.0,1,0
210,3,28.0,0,0
213,3,0.0,0,1
216,3,24.0,0,0
224,3,21.0,0,0
226,3,0.0,0,0
230,3,32.0,0,0
232,3,29.0,0,0
235,3,26.0,0,0
236,3,18.0,0,0
243,3,20.0,0,0
244,3,19.0,0,1
245,3,24.0,0,0
246,3,24.0,0,0
247,3,36.0,0,0
258,3,31.0,0,0
259,3,31.0,0,0
260,3,30.0,1,0
260,3,22.0,1,1
261,3,0.0,0,0
262,3,43.0,0,0
264,3,35.0,0,0
265,3,27.0,0,0
266,3,19.0,0,0
269,3,30.0,0,0
274,3,36.0,1,1
272,3,3.0,0,1
273,3,9.0,0,1
275,3,59.0,0,0
277,3,19.0,0,0
279,3,44.0,0,0
278,3,17.0,1,1
286,3,0.0,0,0
287,3,45.0,0,1
288,3,22.0,1,0
289,3,19.0,0,0
291,3,29.0,0,1
290,3,30.0,1,1
294,3,34.0,0,0
295,3,28.0,1,0
293,3,0.33,0,0
298,3,27.0,0,0
299,3,25.0,0,0
302,3,24.0,0,0
304,3,22.0,0,0
305,3,21.0,0,0
306,3,17.0,0,0
310,3,0.0,0,0
311,3,0.0,1,1
318,3,26.0,0,0
319,3,33.0,1,1
316,3,1.0,0,1
317,3,0.17,1,1
320,3,25.0,0,0
312,3,36.0,0,1
313,3,36.0,1,1
314,3,30.0,0,1
322,3,0.0,0,0
323,3,23.0,0,0
324,3,26.0,0,0
325,3,19.0,1,1
326,3,65.0,0,0
328,3,0.0,0,0
331,3,42.0,0,0
332,3,43.0,0,0
338,3,32.0,0,0
339,3,19.0,0,1
343,3,30.0,1,1
345,3,24.0,1,0
346,3,23.0,1,1
347,3,0.0,0,0
351,3,24.0,1,1
355,3,24.0,0,1
358,3,23.0,0,0
359,3,22.0,1,1
361,3,0.0,0,0
362,3,18.0,0,0
364,3,16.0,0,0
365,3,45.0,0,0
366,3,0.0,0,0
367,3,0.0,0,0
368,3,0.0,0,0
369,3,47.0,0,0
370,3,5.0,1,1
371,3,0.0,0,0
376,3,0.0,0,0
378,3,0.0,0,0
383,3,0.0,0,1
384,3,0.0,0,0
387,3,0.0,0,0
388,3,0.0,0,0
390,3,0.0,0,0
391,3,0.0,0,0
392,3,0.0,0,1
395,3,0.0,0,0
393,3,21.0,1,0
396,3,18.0,0,0
394,3,9.0,1,0
398,3,48.0,1,0
397,3,16.0,0,0
406,3,0.0,0,0
409,3,0.0,0,0
425,3,25.0,0,0
426,3,0.0,0,0
432,3,38.0,1,1
440,3,22.0,0,0
443,3,16.0,1,1
445,3,0.0,1,1
450,3,33.0,0,0
452,3,0.0,1,1
449,3,9.0,0,1
451,3,41.0,0,0
453,3,38.0,0,0
460,3,40.0,0,0
461,3,43.0,1,0
459,3,14.0,0,0
458,3,16.0,1,0
454,3,9.0,0,0
457,3,10.0,1,0
455,3,6.0,0,0
456,3,11.0,0,0
466,3,40.0,0,0
470,3,32.0,0,0
471,3,0.0,0,0
473,3,20.0,0,0
474,3,37.0,0,0
475,3,28.0,0,0
476,3,19.0,0,0
477,3,24.0,1,0
478,3,17.0,1,0
479,3,0.0,0,0
480,3,0.0,0,0
481,3,28.0,0,0
482,3,24.0,1,1
486,3,20.0,0,0
487,3,41.0,0,0
490,3,45.0,1,1
488,3,26.0,0,0
489,3,21.0,0,0
494,3,0.0,1,0
495,3,0.0,0,0
508,3,0.0,0,0
511,3,0.0,0,0
517,3,0.0,1,0
518,3,27.0,0,1
519,3,0.0,0,0
520,3,18.0,1,0
521,3,26.0,1,1
522,3,23.0,1,0
523,3,22.0,1,1
524,3,0.0,1,0
525,3,0.0,0,0
526,3,0.0,1,0
527,3,28.0,1,0
542,3,22.0,1,1
541,3,2.0,1,0
551,3,43.0,0,0
552,3,0.0,0,0
556,3,27.0,1,1
558,3,0.0,0,0
560,3,0.0,1,1
566,3,42.0,0,0
568,3,0.0,0,1
571,3,0.0,0,0
572,3,27.0,1,0
573,3,25.0,1,0
576,3,0.0,0,0
579,3,27.0,0,1
580,3,0.0,0,0
585,3,19.0,1,1
586,3,20.0,0,0
587,3,48.0,0,0
588,3,17.0,0,0
589,3,0.0,1,1
591,3,0.0,0,0
592,3,34.0,0,0
593,3,22.0,0,0
594,3,33.0,0,0
595,3,32.0,0,1
596,3,29.0,0,0
597,3,26.0,0,1
600,3,49.0,0,0
599,3,1.0,1,1
601,3,33.0,0,0
598,3,4.0,0,1
603,3,24.0,1,0
602,3,19.0,0,0
606,3,0.0,0,0
607,3,0.0,1,0
605,3,0.0,1,0
604,3,0.0,0,0
609,3,0.0,0,0
610,3,32.0,0,1
611,3,27.0,0,0
613,3,21.0,1,0
615,3,32.0,0,1
614,3,20.0,1,0
616,3,17.0,0,0
617,3,21.0,0,0
620,3,30.0,0,0
621,3,21.0,0,1
622,3,23.0,0,0
623,3,22.0,0,0
625,3,4.0,1,1
626,3,39.0,0,0
627,3,0.0,0,0
629,3,20.0,0,0
631,3,0.0,0,0
633,3,0.0,0,0
634,3,21.0,1,1
636,3,44.0,0,0
636,3,42.0,0,0
635,3,21.0,1,1
639,3,24.0,0,0
643,3,0.0,0,0
645,3,0.0,1,0
644,3,0.0,0,0
646,3,25.0,0,0
647,3,22.0,0,0
648,3,22.0,0,0
653,3,39.0,0,1
655,3,26.0,1,0
651,3,4.0,1,1
652,3,22.0,1,0
654,3,26.0,0,0
658,3,1.5,1,0
660,3,36.0,1,0
659,3,18.0,0,0
662,3,0.0,0,0
663,3,25.0,0,1
669,3,0.0,0,0
672,3,37.0,1,0
673,3,0.0,0,0
674,3,0.0,0,1
675,3,0.0,0,0
677,3,22.0,1,1
678,3,20.0,0,0
679,3,26.0,0,1
680,3,29.0,0,0
681,3,29.0,0,0
682,3,22.0,0,0
685,3,0.0,0,1
690,3,0.0,1,0
686,3,0.0,0,0
687,3,0.0,1,0
688,3,0.0,1,0
689,3,0.0,1,0
692,3,32.0,0,0
694,3,0.0,0,0
695,3,21.0,0,0
696,3,21.0,1,0
698,3,36.0,0,0
700,3,39.0,0,0
705,3,25.0,1,0
706,3,45.0,1,0
708,3,36.0,0,0
709,3,30.0,1,0
710,3,20.0,0,1
712,3,0.0,0,0
715,3,0.0,0,0
718,3,0.0,0,0
719,3,0.0,0,0
720,3,0.0,1,0
721,3,0.0,0,0
727,3,0.0,0,0
728,3,0.0,0,1
729,3,0.0,0,0
730,3,0.0,1,1
731,3,0.0,0,0
732,3,0.0,0,0
733,3,0.0,0,0
735,3,0.0,1,1
737,3,0.0,0,0
738,3,0.0,0,0
740,3,0.0,1,0
741,3,0.0,0,0
742,3,0.0,0,0
748,3,0.0,0,1
749,3,0.0,1,0
751,3,0.0,1,1
752,3,0.0,0,0
754,3,0.0,0,0
756,3,0.0,0,0
757,3,0.0,0,0
758,3,0.0,0,0
762,3,0.0,1,1
763,3,0.0,0,0
767,3,0.0,1,1
769,3,0.0,0,0
770,3,0.0,1,0
771,3,0.0,1,0
772,3,0.0,0,0
775,3,0.0,1,0
776,3,0.0,0,0
778,3,0.0,1,1
779,3,0.0,1,0
780,3,0.0,1,0
782,3,0.0,0,0
783,3,0.0,0,0
784,3,0.0,1,0
785,3,0.0,1,0
786,3,0.0,0,0
787,3,0.0,1,0
788,3,23.0,1,0
792,3,0.0,0,0
796,3,0.0,0,1
797,3,0.0,0,0
798,3,0.0,0,0
804,3,0.0,0,0
805,3,0.0,0,0
806,3,0.0,0,0
808,3,0.0,0,0
810,3,0.0,1,1
811,3,0.0,0,0
814,3,0.0,1,1
813,3,0.0,0,0
816,3,0.0,0,0
817,3,0.0,1,1
818,3,0.0,0,0
819,3,0.0,0,0
821,3,0.0,0,0
823,3,0.0,0,0
825,3,0.0,0,1
828,3,0.0,1,0
826,3,0.0,0,0
827,3,0.0,0,0
824,3,0.0,0,0
829,3,0.0,1,0
830,3,0.0,0,0
832,3,0.0,1,1
833,3,0.0,1,0
834,3,0.0,0,0
835,3,0.0,1,0
836,3,0.0,1,0
837,3,0.0,1,0
838,3,0.0,0,0
840,3,0.0,1,1
841,3,0.0,0,0
842,3,0.0,1,0
843,3,0.0,0,0
844,3,0.0,0,0
847,3,0.0,0,0
870,3,0.0,0,0
878,3,0.0,0,0
845,3,0.0,1,1
846,3,0.0,0,0
848,3,0.0,0,0
849,3,0.0,0,0
852,3,0.0,0,0
854,3,0.0,1,0
858,3,0.0,0,0
859,3,0.0,0,0
868,3,0.0,1,1
867,3,0.0,0,0
869,3,0.0,1,0
871,3,0.0,0,0
874,3,0.0,0,0
872,3,0.0,1,1
873,3,0.0,1,0
875,3,0.0,0,0
877,3,0.0,0,0
880,3,0.0,0,1
882,3,0.0,1,0
883,3,0.0,0,0
884,3,0.0,0,0
885,3,0.0,0,0
886,3,0.0,1,1
887,3,0.0,0,0
888,3,0.0,0,0
889,3,0.0,0,0
895,3,0.0,0,1
890,3,0.0,1,0
896,3,0.0,1,0
891,3,0.0,0,0
894,3,0.0,1,0
898,3,0.0,0,0
899,3,0.0,0,0
900,3,0.0,0,0
901,3,0.0,0,0
902,3,0.0,1,0
903,3,0.0,0,0
904,3,0.0,0,1
892,3,0.0,1,0
906,3,0.0,0,0
907,3,0.0,0,0
908,3,0.0,0,0
909,3,0.0,0,0
910,3,0.0,1,1
893,3,0.0,1,0
922,3,0.0,0,0
923,3,0.0,0,0
919,3,0.0,0,0
924,3,0.0,1,0
920,3,0.0,0,0
921,3,0.0,0,0
930,3,0.0,0,0
931,3,0.0,0,0
932,3,0.0,0,0
936,3,0.0,1,0
933,3,0.0,0,0
934,3,0.0,1,0
935,3,0.0,1,0
937,3,0.0,0,0
939,3,0.0,0,0
941,3,0.0,1,0
940,3,0.0,1,0
942,3,0.0,0,0
945,3,0.0,0,0
946,3,0.0,0,0
947,3,0.0,0,0
948,3,0.0,0,0
949,3,0.0,0,1
950,3,0.0,0,0
955,3,0.0,0,0
957,3,0.0,0,1
960,3,0.0,1,0
961,3,0.0,1,0
959,3,0.0,0,0
962,3,0.0,1,0
963,3,0.0,0,0
965,3,0.0,1,0
966,3,0.0,0,0
967,3,0.0,0,0
968,3,0.0,1,0
964,3,0.0,0,0
972,3,0.0,0,1
974,3,0.0,0,0
978,3,0.0,0,0
984,3,0.0,0,0
985,3,0.0,0,0
986,3,0.0,0,0
992,3,0.0,0,0
994,3,0.0,0,0
995,3,0.0,0,0
998,3,0.0,0,0
996,3,0.0,0,0
997,3,0.0,0,0
999,3,0.0,1,0
1005,3,0.0,1,0
1007,3,0.0,0,0
